code;species;familia;site;bedrock;micro;micro2;distribution
300821-03;Androsace villosa;Primulaceae;Hoyo;Calcareous;snowbed;snowbed;alpine
310821-11;Androsace villosa;Primulaceae;Cazadores;Calcareous;snowbed;snowbed;alpine
300821-08;Arenaria erinacea;Caryophyllaceae;Hoyo;Calcareous;neutral;neutral;alpine
240821-01;Armeria duriaei;Plumbaginaceae;Rabinalto;Siliceous;neutral;neutral;alpine
310821-13;Carex sempervirens;Cyperaceae;Cazadores;Calcareous;snowbed;snowbed;alpine
280721-02;Cerastium sp.;Caryophyllaceae;Rabinalto;Siliceous;snowbed;neutral;generalist
110821-01;Dianthus langeanus;Caryophyllaceae;Penauta;Siliceous;snowbed;snowbed;alpine
240821-02;Festuca summilusitana;Poaceae;Rabinalto;Siliceous;fellfield;fellfield;alpine
130921-06;Gentiana verna;Gentianaceae;Hou;Calcareous;snowbed;snowbed;alpine
300921-03;Gentianella campestris;Gentianaceae;Hoyo;Calcareous;snowbed;neutral;generalist
300821-10;Gypsophila repens;Caryophyllaceae;Hoyo;Calcareous;snowbed;neutral;generalist
310821-08;Gypsophila repens;Caryophyllaceae;Cazadores;Calcareous;snowbed;neutral;generalist
300821-05;Helianthemum canum;Cistaceae;Hoyo;Calcareous;snowbed;neutral;generalist
310821-05;Helianthemum canum;Cistaceae;Cazadores;Calcareous;snowbed;neutral;generalist
310821-09;Koeleria vallesiana;Poaceae;Cazadores;Calcareous;neutral;neutral;alpine
310821-10;Minuartia CF;Caryophyllaceae;Cazadores;Calcareous;neutral;neutral;alpine
120821-01;Minuartia recurva;Caryophyllaceae;Cañada;Siliceous;snowbed;snowbed;alpine
240821-07;Neochischkinia truncatula;Poaceae;Rabinalto;Siliceous;neutral;neutral;generalist
130921-04;Pedicularis pirenaica;Orobanchaceae;Hou;Calcareous;snowbed;snowbed;alpine
310821-04;Pedicularis pirenaica;Orobanchaceae;Cazadores;Calcareous;snowbed;snowbed;alpine
240821-10;Phyteuma hemisphaericum;Campanulaceae;Cañada;Siliceous;snowbed;snowbed;alpine
250821-07;Phyteuma hemisphaericum;Campanulaceae;Penauta;Siliceous;snowbed;snowbed;alpine
240821-04;Plantago alpina;Plantaginaceae;Rabinalto;Siliceous;fellfield;fellfield;alpine
300821-15;Plantago alpina;Plantaginaceae;Hoyo;Calcareous;neutral;neutral;alpine
240821-09;Sedum anglicum;Crassulaceae;Cañada;Siliceous;fellfield;fellfield;alpine
240821-11;Sedum brevifolium;Crassulaceae;Cañada;Siliceous;fellfield;neutral;generalist
130921-07;Silene acaulis;Caryophyllaceae;Hou;Calcareous;fellfield;fellfield;alpine
140921-03;Silene acaulis;Caryophyllaceae;Boches;Calcareous;fellfield;fellfield;alpine
230921-01;Silene ciliata;Caryophyllaceae;Penauta;Siliceous;snowbed;snowbed;alpine
300821-11;Silene ciliata;Caryophyllaceae;Hoyo;Calcareous;fellfield;fellfield;alpine
240821-08;Solidago virgaurea;Compositae;Rabinalto;Siliceous;fellfield;neutral;generalist
150721-01;Spergula morisonii;Caryophyllaceae;Cañada;Siliceous;fellfield;neutral;generalist
120821-06;Thymus praecox;Lamiaceae;Rabinalto;Siliceous;fellfield;neutral;generalist
300821-07;Thymus praecox;Lamiaceae;Hoyo;Calcareous;fellfield;neutral;generalist
