"","oil_type","variable","n","min","max","median","q1","q3","iqr","mad","mean","sd","se","ci"
"1","C12.0","oil_PER",49,0,0.55,0,0,0,0,0,0.03,0.111,0.016,0.032
"2","C14.0","oil_PER",49,0,0.95,0.1,0.04,0.21,0.17,0.133,0.171,0.21,0.03,0.06
"3","C15.0","oil_PER",49,0,0.1,0,0,0,0,0,0.007,0.02,0.003,0.006
"4","C16.0","oil_PER",49,3.81,35.73,9.47,7.24,12.81,5.57,3.973,10.799,5.507,0.787,1.582
"5","C16.1n7","oil_PER",49,0,1.72,0.12,0.08,0.19,0.11,0.089,0.203,0.299,0.043,0.086
"6","C17.0","oil_PER",49,0,0.32,0.07,0,0.15,0.15,0.104,0.085,0.082,0.012,0.024
"7","C18.0","oil_PER",49,0.32,4.73,1.93,1.36,2.48,1.12,0.845,2.043,0.97,0.139,0.279
"8","C18.1n7c","oil_PER",49,0.46,6.81,0.9,0.65,1.12,0.47,0.371,1.171,1.083,0.155,0.311
"9","C18.1n9c","oil_PER",49,6.59,67.76,19.16,15.6,24.73,9.13,7.798,22.6,13.399,1.914,3.849
"10","C18.2n6c","oil_PER",49,9.67,74.4,40.26,30.43,53.5,23.07,18.132,42.399,16.702,2.386,4.798
"11","C18.3n3","oil_PER",49,0.2,59.61,5.75,1.1,32.64,31.54,7.621,15.094,18.558,2.651,5.331
"12","C18.3n6","oil_PER",49,0,16.48,0,0,0,0,0,1.372,3.739,0.534,1.074
"13","C18.4n3","oil_PER",49,0,2.26,0,0,0,0,0,0.075,0.329,0.047,0.094
"14","C20.0","oil_PER",49,0.03,2.61,0.37,0.25,0.58,0.33,0.222,0.479,0.465,0.066,0.134
"15","C20.1n9","oil_PER",49,0,9.78,0.41,0.14,0.62,0.48,0.4,0.834,1.699,0.243,0.488
"16","C20.2n6","oil_PER",49,0,0.54,0,0,0.11,0.11,0,0.076,0.12,0.017,0.034
"17","C20.3n3","oil_PER",49,0,0.05,0,0,0,0,0,0.003,0.012,0.002,0.003
"18","C20.3n6","oil_PER",49,0,3.68,0,0,0,0,0,0.087,0.53,0.076,0.152
"19","C20.4n6","oil_PER",49,0,3.9,0,0,0,0,0,0.144,0.711,0.102,0.204
"20","C21.0","oil_PER",49,0,0.05,0,0,0,0,0,0.001,0.007,0.001,0.002
"21","C22.0","oil_PER",49,0,1.06,0.22,0.1,0.4,0.3,0.193,0.286,0.247,0.035,0.071
"22","C22.1n9","oil_PER",49,0,49.89,0,0,0,0,0,1.66,8.198,1.171,2.355
"23","C22.2n6","oil_PER",49,0,0.47,0,0,0,0,0,0.019,0.092,0.013,0.026
"24","C23.0","oil_PER",49,0,0.44,0,0,0,0,0,0.011,0.064,0.009,0.018
"25","C24.0","oil_PER",49,0,0.73,0.2,0.05,0.42,0.37,0.252,0.24,0.208,0.03,0.06
"26","C24.1n9","oil_PER",49,0,4.71,0,0,0,0,0,0.107,0.674,0.096,0.194
